id,authors,year,venue,arxiv,domain,task,subjectivity,expertise,judge_models,comparator,metric,metric_family,agreement,human_baseline,parity,verdict,verdict_label,reliability_score,biases,n,synthesis_role,finding
lee2024unisumeval,Lee et al.,2024,arXiv,2409.19898,Summarization,pointwise-scoring,mixed,medium,GPT-4o,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,dimension-dependent,,primary,Fine-grained multi-dimensional summarization eval; LLM judges align better on faithfulness than coherence.
kocmi2023gemba,Kocmi & Federmann,2023,EAMT,2302.14520,Machine Translation,pointwise-scoring,objective,medium,GPT-3.5;GPT-4,MQM experts,kendall,correlation,,,approx,2,Promising (conditional),4,scale compression,,primary,GEMBA: GPT achieves SOTA system-level correlation with MQM; needs >=GPT-3.5.
kocmi2023gembamqm,Kocmi & Federmann,2023,WMT,2310.13988,Machine Translation,fact-verification,objective,medium,GPT-4,MQM experts,pct_agreement,raw-agreement,0.965,,yes,1,Validated,5,—,,primary,"GEMBA-MQM 96.5% system-level pairwise accuracy (WMT23); reliable at SYSTEM level, NOT segment level."
wei2024safe,Wei et al.,2024,NeurIPS,2403.18802,QA & Factuality,fact-verification,objective,low,GPT (SAFE agent),crowd,pct_agreement,raw-agreement,0.72,,yes,2,Promising (conditional),4,search-dependence,16011.0,primary,"SAFE agrees with crowd 72%, wins 76% of disagreements, >20x cheaper; superhuman on a subset."
min2023factscore,Min et al.,2023,EMNLP,2305.14251,QA & Factuality,fact-verification,objective,medium,GPT-3.5+retrieval,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,retrieval-dependence,,primary,FActScore automated estimator <2% error vs human factual-precision judgments (with retrieval).
madaan2024refverdict,Reference-Guided Verdict authors,2024,arXiv,2408.09235,QA & Factuality,pointwise-scoring,mixed,low,Multi-LLM,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Reference-guided multi-judge improves agreement with humans on free-form QA over single judge.
es2023ragas,Es et al.,2023,EACL'24,2309.15217,RAG,pointwise-scoring,mixed,low,GPT-3.5,human (WikiEval),pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,context-sensitivity,,primary,RAGAS reference-free faithfulness/relevance correlate with human but unstable across pipelines.
saadfalcon2023ares,Saad-Falcon et al.,2023,NAACL'24,2311.09476,RAG,classification-annotation,mixed,low,fine-tuned LLM judges,human (PPI),accuracy,raw-agreement,,,approx,2,Promising (conditional),4,domain-shift,,primary,ARES + prediction-powered inference ranks RAG systems accurately; needs small human-labeled set.
jin2024ragreward,Jin et al.,2024,arXiv,2412.13746,RAG,pairwise-comparison,mixed,low,reward/LLM judges,human,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,faithfulness vs helpfulness conflict,,primary,"RAG-RewardBench: judges struggle to jointly reward faithfulness, relevance and citation."
tong2024codejudge,Tong et al.,2024,EMNLP,2410.02184,Code & SW Eng,classification-annotation,objective,medium,GPT-3.5;Llama-3-8B,execution/tests,accuracy,raw-agreement,,,approx,2,Promising (conditional),4,no-execution blind spots,,primary,"CodeJudge evaluates semantic correctness without tests, beating prior LLM-eval methods."
zhuo2025codejudgeeff,Wang et al.,2025,arXiv,2507.16587,Code & SW Eng,pointwise-scoring,objective,medium,GPT-4o;open,developer,kappa,chance-corrected,,,approx,3,Mixed / task-dependent,3,verbosity;position,,primary,LLM-as-judge for code gen/summarization: useful but agreement varies by language and metric.
watson2024aicodereview,Watson et al.,2024,arXiv,2404.18496,Code & SW Eng,classification-annotation,objective,medium,GPT-3.5/4,developer,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,verbosity;hallucinated issues,,primary,LLM code review surfaces real issues but with many false positives; first-pass only.
overcorrect2026,Jin et al.,2026,arXiv,2603.00539,Code & SW Eng,classification-annotation,objective,medium,GPT-4o;Claude;open,spec gold,accuracy,raw-agreement,,,no,4,Caution / limited,2,overcorrection;false-rejection;instability,,primary,Systematic OVER-correction: judges misclassify correct code as non-conformant; more prompting -> more errors.
biasloop2026,Zhao et al.,2026,arXiv,2604.16790,Code & SW Eng,pairwise-comparison,objective,medium,multiple,developer,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,position;verbosity;format,,primary,Audit of LLM-as-judge for SE finds pervasive position/verbosity/format bias in code judgments.
codespec2025,Jin et al.,2025,arXiv,2508.12358,Code & SW Eng,fact-verification,objective,high,GPT-4o;open,spec gold,accuracy,raw-agreement,,,no,4,Caution / limited,2,spec-grounding failure,,primary,LLMs systematically fail to verify code against natural-language specifications.
tan2024judgebench,Tan et al.,2024,ICLR'25,2410.12784,Reasoning & Math,pairwise-comparison,objective,high,GPT-4o;Claude;Gemini;o1,verified gold,accuracy,raw-agreement,0.55,0.5,no,4,Caution / limited,2,knowledge/reasoning blind spots,350.0,primary,JudgeBench: many strong judges barely beat random on hard reasoning; math more tractable than knowledge.
raju2024calc2adj,Raju et al.,2024,arXiv,2409.04168,Reasoning & Math,fact-verification,objective,high,GPT-4;open,gold answers,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,process vs answer confusion,,primary,"Judges on math reasoning ok at final-answer checking, weaker at step/process adjudication."
mathrobust2026,Yosef et al.,2026,arXiv,2604.22597,Reasoning & Math,fact-verification,objective,high,GPT-4o;open,gold,accuracy,raw-agreement,,,approx,3,Mixed / task-dependent,3,symbolic rigidity,,primary,Robust math LLM-judge beyond symbolic matching improves agreement with human correctness labels.
thomas2024relevance,Thomas et al.,2024,SIGIR,2309.10621,IR & Relevance,classification-annotation,mixed,low,GPT-4,crowd+expert,kappa,chance-corrected,,,yes,1,Validated,5,prompt-sensitivity,,primary,"LLM relevance labels match human labellers; Cohen kappa ~ inter-human; better than third-party workers, cheaper."
upadhyay2024largescale,Upadhyay et al.,2024,arXiv,2411.08275,IR & Relevance,classification-annotation,mixed,low,GPT-4,TREC assessors,kappa,chance-corrected,,,approx,2,Promising (conditional),4,—,,primary,Large-scale TREC study: LLM assessments largely reproduce system rankings; some divergence on borderline docs.
faggioli2023perspectives,Faggioli et al.,2023,ICTIR,2304.09161,IR & Relevance,classification-annotation,mixed,low,GPT-3.5/4,assessors,kappa,chance-corrected,,,approx,2,Promising (conditional),4,—,,primary,Perspectives paper: LLM relevance judgments promising; advocates human oversight for high-stakes IR.
gilardi2023chatgpt,Gilardi et al.,2023,PNAS,2303.15056,Social-Science Annotation,classification-annotation,mixed,low,ChatGPT,MTurk crowd + trained,accuracy,raw-agreement,,,yes,1,Validated,5,—,6183.0,primary,ChatGPT +25pp accuracy over MTurk on relevance/stance/topic/frame; intercoder agreement > crowd & trained.
tornberg2025political,Törnberg,2025,Soc. Sci. Comp. Rev.,2304.06588,Social-Science Annotation,classification-annotation,mixed,medium,GPT-4,expert coders + supervised,accuracy,raw-agreement,,,yes,1,Validated,5,—,,primary,LLMs outperform expert coders and supervised classifiers at annotating political social-media messages.
pangakis2023validation,Pangakis et al.,2023,arXiv,2306.00176,Social-Science Annotation,classification-annotation,mixed,medium,GPT-4,SME,f1,raw-agreement,0.707,,no,3,Mixed / task-dependent,3,task-contingent variance,,primary,"27 tasks/11 datasets: accuracy median 0.85, F1 median 0.707; 8 tasks high, 9 low. MUST validate per task."
ziems2024css,Ziems et al.,2024,Comput. Linguistics,2305.03514,Social-Science Annotation,classification-annotation,mixed,medium,GPT-3.5/4,gold,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,construct-dependent,,primary,"CSS: LLMs strong zero-shot on some constructs, far from human on nuanced/contextual ones."
reiss2023testing,Reiss,2023,arXiv,2304.11085,Social-Science Annotation,classification-annotation,mixed,low,ChatGPT,gold,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,prompt instability;non-determinism,,primary,Reliability of ChatGPT text annotation is fragile to prompt/temperature; caution against naive use.
pangakis2024keephumans,Pangakis & Wolken,2024,ICWSM,2409.09467,Social-Science Annotation,classification-annotation,mixed,medium,GPT-4,human,f1,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,"Human-centered workflow: validate on a labeled subset, then automate; near-human label quality achievable."
zhang2023sentiment,Zhang et al.,2023,arXiv,2304.04339,Sentiment & Emotion,classification-annotation,mixed,low,ChatGPT,gold,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Good at sentiment polarity; weaker on fine-grained aspect-based extraction (E2E-ABSA, CEE)."
belal2023sentiment,Belal et al.,2023,arXiv,2306.17177,Sentiment & Emotion,classification-annotation,mixed,low,ChatGPT,gold,accuracy,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,ChatGPT as sentiment annotation tool reaches high accuracy with cost/time advantages.
hatespeechanno2025,authors,2025,arXiv,2512.09662,Content Moderation & Toxicity,classification-annotation,subjective,medium,GPT-4-class,human,kappa,chance-corrected,,,no,4,Caution / limited,2,subjectivity;cannot capture lived experience,,primary,LLMs cannot fully replace humans for subjective hate-speech; still diverge even with subjectivity-aware framing.
icwsm2025hatebias,Giorgi et al.,2025,ICWSM,2410.07991,Content Moderation & Toxicity,classification-annotation,subjective,medium,LLMs,socio-demographically diverse humans,kappa,chance-corrected,,,no,4,Caution / limited,2,socio-demographic bias,,primary,Both human and LLM hate-speech annotations carry socio-demographic biases; targets/annotators matter.
hatespeechprobe2023,Roy et al.,2023,EMNLP-F,2310.12860,Content Moderation & Toxicity,classification-annotation,subjective,medium,GPT-3.5,gold,f1,raw-agreement,,,no,3,Mixed / task-dependent,3,blind to implicit/coded abuse,,primary,"LLMs better on explicit than implicit/coded hate; vulnerable, relabeling agreement poor."
szymanski2025limits,Szymanski et al.,2025,IUI,2410.20266,Medicine & Clinical,pairwise-comparison,subjective,high,GPT-4-class,SME (dietetics;mental health),pct_agreement,raw-agreement,0.66,,no,4,Caution / limited,2,expert-misalignment;expert-persona effect,,primary,SMEs agree with LLM judges only 68% (dietetics)/64% (mental health); LLM judges unreliable for expert tasks.
medjudge2026scoping,Li et al.,2026,arXiv,2604.25933,Medicine & Clinical,review,mixed,high,GPT-family (73.5%),experts,,,,,n.r.,4,Caution / limited,2,no bias-testing in 73.5%;26.5% no human validator,,secondary,"PRISMA-ScR (49 studies): 75.5% benchmarking, 85.7% pointwise; risk-of-bias absent in 73.5%; needs governance."
clinstruct2025,Brake et al.,2025,medRxiv,2025.08.14,Medicine & Clinical,pointwise-scoring,mixed,high,GPT-o3-mini,clinicians,icc,correlation,0.818,,approx,3,Mixed / task-dependent,3,structure-dependent,,primary,"ICC 0.818 overall; structured docs 0.82-0.93, semi-structured 0.64-0.79, complex reasoning 0.47-0.71."
llmevalmed2025,Zhang et al.,2025,arXiv,2506.04078,Medicine & Clinical,pointwise-scoring,mixed,high,medical LLM judges,physicians,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,LLMEval-Med: real-world clinical benchmark with physician validation; agreement varies by criterion.
sun2023radimpressions,Sun et al.,2023,Radiology,radiology231259,Medicine & Clinical,pointwise-scoring,mixed,high,GPT-4,radiologists,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,—,,primary,Radiologists score GPT-4 impressions lower than human ones; some referring physicians prefer GPT-4.
brain2024radgpt,Mitsuyama et al.,2024,Eur. Radiol.,s00330-024-11032-8,Medicine & Clinical,classification-annotation,objective,high,GPT-4,radiologists,accuracy,raw-agreement,0.94,,approx,3,Mixed / task-dependent,3,—,,primary,"GPT-4 differential-diagnosis accuracy 93-95% from reports, no significant difference vs radiologists."
healthbench2025,Arora et al. (OpenAI),2025,arXiv,2505.08775,Medicine & Clinical,pointwise-scoring,mixed,high,model grader,262 physicians,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,5000.0,primary,"HealthBench: 48,562 clinician criteria; model grader shows high concordance with physician ratings."
clindialog2026,Sun et al.,2026,arXiv,2603.00314,Medicine & Clinical,pointwise-scoring,subjective,high,LLM judges,clinicians,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,metric disagreement,,primary,Automatic similarity and LLM-as-judge disagree on clinical dialogue; neither alone reliable.
frenchmedqa2026,Belmadani et al.,2026,arXiv,2603.04033,Medicine & Clinical,pointwise-scoring,mixed,high,LLM judges,physicians,kappa,chance-corrected,,,no,3,Mixed / task-dependent,3,language+domain compounding,,primary,French medical open-ended QA: judge reliability degrades with language + clinical specificity.
mhtrust2025,Badawi et al.,2025,arXiv,2510.19032,Mental Health,pointwise-scoring,subjective,high,LLM judges,experts,icc,correlation,,,no,3,Mixed / task-dependent,3,score inflation;cognitive-affective gap,,primary,"Reliable for cognitive attributes (guidance, safety, interpretation), unreliable for empathy/affect; inflated scores."
counselbench2025,Li et al.,2025,arXiv,2506.08584,Mental Health,pointwise-scoring,subjective,high,GPT-4-class,mental-health experts,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,inflation;adversarial fragility,,primary,CounselBench: expert evaluation + adversarial probes expose unreliable LLM judging in counseling.
mhsupport2026,Badawi et al.,2026,arXiv,2601.18630,Mental Health,pointwise-scoring,subjective,high,LLM judges,multi-attribute human,icc,correlation,,,no,3,Mixed / task-dependent,3,affective misattunement,,primary,Multi-attribute human eval: LLM support judged structured/safe but emotionally misattuned.
lemaj2025,Enguehard et al.,2025,arXiv,2510.07243,Legal,pointwise-scoring,mixed,high,GPT-4-class,lawyers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,LeMAJ: decomposing answers into Legal Data Points raises correlation with expert lawyers and IAA.
legaldocrec2025,Pradhan et al.,2025,RecSys-W,2509.12382,Legal,ranking,mixed,high,GPT-4o,legal experts,spearman,correlation,0.73,,approx,2,Promising (conditional),4,—,,primary,"Legal doc recommendation: GPT-4o Spearman 0.73, Gwet AC2 0.78 vs expert rankings."
trident2025,Hui et al.,2025,arXiv,2507.21134,Finance,classification-annotation,mixed,high,LLM judges,3 experts (unanimous),pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,TRIDENT safety benchmark (finance/medicine/law): strict unanimous expert gold; judges partial.
bizfinbench2025,Lu et al.,2025,arXiv,2505.19457,Finance,pointwise-scoring,mixed,high,LLM judges,experts (high IAA),pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,"Business-driven financial benchmark; expert-annotated; LLM-judge alignment moderate, capability-bound."
mizumoto2023aes,Mizumoto & Eguchi,2023,Res. Methods App. Ling.,2306.00622,Education & Grading,pointwise-scoring,mixed,medium,GPT-3.5/4,human raters,qwk,chance-corrected,0.74,,approx,2,Promising (conditional),4,—,,primary,Automated essay scoring with GPT reaches QWK ~0.67-0.80 across settings; near human agreement.
aescomparative2024,Lee et al.,2024,arXiv,2407.05733,Education & Grading,pointwise-scoring,subjective,medium,GPT-4,human raters,qwk,chance-corrected,0.5677,0.6573,no,3,Mixed / task-dependent,3,below human ceiling,,primary,GPT-4 best QWK 0.57 < human baseline 0.66; alone insufficient for AES.
k12shortanswer2024,Henkel et al.,2024,arXiv,2405.02985,Education & Grading,classification-annotation,objective,medium,GPT-4,teachers,kappa,chance-corrected,0.7,0.75,approx,2,Promising (conditional),4,overestimation,,primary,K-12 short-answer marking: GPT-4 few-shot kappa 0.70 close to human 0.75.
asagfair2025,Henkel et al.,2025,Comp.&Educ.:AI,S2666920X25000682,Education & Grading,pointwise-scoring,mixed,medium,GPT-4;Gemini,human,kappa,chance-corrected,,,no,3,Mixed / task-dependent,3,systematic overestimation;fairness,,primary,ASAG: GPT-4 consistent but slight agreement and systematic over-scoring; needs human moderation.
sefl2025feedback,authors,2025,arXiv,2502.12927,Education & Grading,pointwise-scoring,subjective,medium,GPT-4.1,experts,f1,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Fine-tuned/few-shot GPT-4.1 matches human experts evaluating tutor feedback quality.
k12sci2026,He et al.,2026,arXiv,2602.13243,Education & Grading,pointwise-scoring,mixed,medium,multi-LLM,experts,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Human validation of multi-LLM evaluation of K-12 science materials shows usable agreement.
studentsjudge2025,Banihashem et al.,2025,Comp.&Educ.:AI,S2666920X25001730,Education & Grading,pointwise-scoring,subjective,medium,LLM,experts+students,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,Pedagogical quality of AI vs human formative feedback: experts and AI diverge on nuanced pedagogy.
chakrabarty2024artartifice,Chakrabarty et al.,2024,CHI,2309.14556,Creative Writing,pointwise-scoring,subjective,high,GPT-4,expert writers (TTCW),pearson,correlation,0.1,,no,5,Unreliable,1,linguistic vs semantic complexity,,primary,LLM creativity ratings near-zero correlation with expert TTCW judgments; experts judge differently.
litbench2025,Fein et al.,2025,arXiv,2507.00769,Creative Writing,pairwise-comparison,subjective,medium,Claude-3.7;reward models,human preference,pct_agreement,raw-agreement,0.78,,no,3,Mixed / task-dependent,3,—,,primary,LitBench: off-the-shelf Claude-3.7 73% agreement; trained reward models 78% with human preferences.
ismayilzada2024creative,Ismayilzada et al.,2024,ICCC'25,2411.02316,Creative Writing,pointwise-scoring,subjective,high,LLMs+non-experts+experts,experts,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,length-driven (non-experts/LLMs),,primary,Non-experts and LLMs rate by linguistic complexity; only experts capture semantic creativity.
creativeevalmdpi2025,Kim et al.,2025,Appl. Sci.,appl15062971,Creative Writing,pointwise-scoring,subjective,medium,GPT-4,human,spearman,correlation,,,no,3,Mixed / task-dependent,3,—,,primary,"LLMs as creative-writing evaluators: moderate alignment, struggle with originality/voice."
liang2024feedback,Liang et al.,2024,NEJM AI,2310.01783,Peer Review & Science,pointwise-scoring,mixed,high,GPT-4,human reviewers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,generic comments,,primary,GPT-4 review feedback overlaps human points ~ as much as two humans overlap; useful but shallow.
chatgptreviewers2024,Ho et al.,2024,Comp. Biol. Med.,S0169260724003067,Peer Review & Science,pointwise-scoring,mixed,high,ChatGPT (GPT-4),reviewers,pct_agreement,raw-agreement,0.067,,no,4,Caution / limited,2,low concordance,,primary,ChatGPT complete agreement with human reviewer comments only 6.7%; limited emulation of reviewers.
murad2024quality,Tarakji et al.,2024,BMC Med Res Methodol,s12874-024-02372-6,Peer Review & Science,classification-annotation,objective,high,GPT-4,methodologists,pct_agreement,raw-agreement,0.61,,approx,3,Mixed / task-dependent,3,—,,primary,GPT-4 vs humans appraising case-report quality: 41.9-80.9% agreement across items (Murad tool).
prismascreen2024,Guo et al.,2024,Int J Med Inform,S1386505624001941,Peer Review & Science,classification-annotation,objective,medium,GPT-4,reviewers,kappa,chance-corrected,0.91,,yes,1,Validated,5,—,,primary,GPT-4 as added reviewer in PRISMA SLR abstract screening: near-perfect agreement (Cohen kappa >0.9).
chen2024mllmjudge,Chen et al.,2024,ICML,2402.04788,Multimodal (Vision-Language),pairwise-comparison,mixed,low,GPT-4V,human,pct_agreement,raw-agreement,0.793,,approx,3,Mixed / task-dependent,3,hallucination;egocentric;position,,primary,MLLM-as-a-Judge: pairwise 79.3% human agreement but scoring/ranking much weaker; many biases.
lee2024promvision,Lee et al.,2024,ACL-F,2401.06591,Multimodal (Vision-Language),pointwise-scoring,mixed,low,Prometheus-Vision,human+GPT-4V,pearson,correlation,,,approx,3,Mixed / task-dependent,3,—,,primary,Open VLM evaluator correlates with humans on fine-grained image-response scoring.
lu2024wildvision,Lu et al.,2024,NeurIPS,2406.11069,Multimodal (Vision-Language),pairwise-comparison,mixed,low,GPT-4o,in-the-wild humans,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,WildVision Arena: VLM judges approximate human preference rankings on real multimodal chats.
yasunaga2025mmrewardbench,Yasunaga et al.,2025,arXiv,2502.14191,Multimodal (Vision-Language),pairwise-comparison,mixed,low,Gemini-1.5;Claude-3.5,human,accuracy,raw-agreement,0.72,,no,4,Caution / limited,2,—,,primary,Multimodal RewardBench: even top VLMs reach only 72% accuracy vs human preference.
lin2024vqascore,Lin et al.,2024,ECCV,2406.13743,Text-to-Image,pointwise-scoring,mixed,low,CLIP-FlanT5 (VQAScore),40k human ratings,pearson,correlation,,,approx,2,Promising (conditional),4,compositional reasoning gaps,40000.0,primary,VQAScore beats CLIPScore/PickScore/HPSv2/ImageReward at matching human T2I alignment ratings.
wu2023hpsv2,Wu et al.,2023,arXiv,2306.09341,Text-to-Image,pointwise-scoring,subjective,low,HPS v2 model,798k human prefs,accuracy,raw-agreement,,,approx,2,Promising (conditional),4,—,798090.0,primary,Human Preference Score v2 predicts human T2I preferences; trained on large human-rating corpus.
multiljudge2025,Fu et al.,2025,arXiv,2505.12201,Multilingual,pointwise-scoring,mixed,medium,multilingual LLMs;Aya,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,low-resource degradation;middle-score bias,,primary,Judges inconsistent across languages; low-resource much worse; scale/multilingual training don't fix it.
mmeval2024,Son et al.,2024,arXiv,2410.17578,Multilingual,pairwise-comparison,mixed,medium,LLM judges;reward models,human,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,language transfer gaps,,primary,"MM-Eval multilingual meta-eval: judges drop on non-English, esp. low-resource and linguistics subsets."
reliablemulti2026,Zubiaga et al.,2026,arXiv,2605.28710,Multilingual,pointwise-scoring,mixed,medium,LLM judges,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,cross-lingual inconsistency,,primary,Empirical study: multilingual LLM judges remain unreliable; ensembles/fine-tuning partially help.
lambert2024rewardbench,Lambert et al.,2024,arXiv,2403.13787,Reward Modeling,pairwise-comparison,mixed,low,reward models;LLM judges,human pref pairs,accuracy,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,RewardBench: chosen/rejected accuracy varies widely; safety/reasoning hardest; weak link to downstream.
ifreward2026,Wen et al.,2026,arXiv,2603.04738,Reward Modeling,ranking,objective,low,Gemini-3-Pro;judges,human,kendall,correlation,0.609,0.755,no,4,Caution / limited,2,—,,primary,IF-RewardBench: best judge Kendall 0.609 << human 0.755 ranking instruction-following responses.
politicaltruths2024,Chatrath et al.,2024,arXiv,2411.05775,Fact-Checking,classification-annotation,mixed,medium,LLMs,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,acceptance leniency,,primary,LLMs as political-truth annotators: looser than humans on vague claims; mixed reliability.
factsopinions2025,Saju et al.,2025,arXiv,2506.03655,Fact-Checking,classification-annotation,mixed,medium,multiple LLMs,human,accuracy,raw-agreement,,,no,4,Caution / limited,2,Dunning-Kruger confidence,,primary,Multilingual fact-checking: facts harder than opinions; small models overconfident & inaccurate.
claimmatch2023,Choi et al.,2023,arXiv,2310.09223,Fact-Checking,classification-annotation,mixed,medium,LLMs,fact-checkers,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,LLM claim-matching comparable to human ratings; fine-tuned rivals large pre-trained.
zhou2023ifeval,Zhou et al.,2023,arXiv,2311.07911,Instruction Following,fact-verification,objective,low,programmatic verifier,gold constraints,accuracy,raw-agreement,,,yes,1,Validated,5,—,541.0,primary,IFEval: verifiable constraints enable objective auto-eval WITHOUT an LLM judge (no judge bias).
ifcritic2025,Wen et al.,2025,arXiv,2511.01014,Instruction Following,classification-annotation,mixed,low,IF-Critic,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Fine-grained instruction-following critic improves per-requirement agreement with humans.
qualcoding2025jla,Xiao et al.,2025,J. Learning Analytics,jla8575,Qualitative Coding,classification-annotation,subjective,medium,GPT-4,human coders,fleiss_kappa,chance-corrected,0.46,,no,3,Mixed / task-dependent,3,construct-dependent,,primary,Human-GPT-4 Fleiss kappa ~0.46 (moderate); GPT-4 self-consistency ~0.87 (>human); hybrid advised.
qualigpt2024,Zhang et al.,2024,arXiv,2407.14925,Qualitative Coding,classification-annotation,subjective,medium,GPT (QualiGPT),researchers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,"QualiGPT supports qualitative coding; agreement adequate for deductive codebooks, weaker inductively."
