id,authors,year,venue,ref,method,role,agreement,human_baseline,verdict,verdict_label,reliability_score,stance,community,finding
schroeder2025usestensions,Schroeder et al.,2025,CHI,10.1145/3706598.3713120,Qual analysis (meta),augment,,,3,Mixed / task-dependent,3,tension,HCI,"Interviews with qualitative researchers reveal uses, tensions, and intentions: LLMs valued for breadth but threaten interpretive rigor/positionality."
davison2024ethics,Davison et al.,2024,Information Systems J.,10.1111/isj.12504,Qual analysis (meta),augment,,,4,Caution / limited,2,critical,CSS,Ethics of generative-AI qualitative data analysis: warns that uncritical use erodes interpretive accountability and rigor.
wachinger2024prompts,Wachinger et al.,2024,Qual. Health Res.,10.1177/10497323241244669,Qual analysis (general),augment,,,3,Mixed / task-dependent,3,tension,Health,"Comparing ChatGPT and a human qualitative researcher: useful for surface coding, 'imperfections' in depth and context."
li2024gpt4humanqual,Li et al.,2024,J. Med. Internet Res.,10.2196/56500,Qual analysis (general),augment,0.4,,3,Mixed / task-dependent,3,tension,Health,GPT-4 vs human researchers on health-care qualitative data: moderate agreement (kappa ~0.40); AI aids but does not replace.
zhang2023redefining,Zhang et al.,2023,arXiv,2309.10771,Qual analysis (general),augment,,,3,Mixed / task-dependent,3,tension,Qual-methods,Redefining qualitative analysis in the AI era: ChatGPT accelerates coding; calls for new human-AI qualitative workflows.
savelka2023textskilled,Savelka et al.,2023,arXiv,2306.13906,Qual coding (deductive),augment,,,3,Mixed / task-dependent,3,tension,NLP,GPT-4 supports analysis of textual data in tasks requiring highly skilled (legal) coding; promising but below expert reliability.
long2024classroom,Long et al.,2024,npj Science of Learning,10.1038/s41539-024-00273-3,Content analysis,augment,,,3,Mixed / task-dependent,3,tension,Education,"LLMs analysing classroom dialogue: moderate agreement with human coders; useful for scale, weaker on pedagogical subtlety."
qualcoding2025jla,authors,2025,J. Learning Analytics,jla8575,Qual coding (deductive),augment,0.46,,3,Mixed / task-dependent,3,tension,Qual-methods,Human-GPT-4 Fleiss kappa ~0.46; GPT-4 self-consistency ~0.87 (> human); hybrid coding advised.
qualigpt2024,Zhang et al.,2024,arXiv,2407.14925,Qual analysis (tool),augment,,,3,Mixed / task-dependent,3,tension,HCI,"QualiGPT tool: adequate agreement for deductive codebooks, weaker inductively; positioned as assistant."
meng2024chalet,Meng et al.,2024,ACM TOCHI,2405.05758,Qual analysis (tool),augment,,,3,Mixed / task-dependent,3,tension,HCI,CHALET: human-LLM partnership for theory-driven qualitative analysis via iterative coding and disagreement analysis.
mehta2025qualgenai,Mehta et al.,2025,Scientific Reports,10.1038/s41598-025-18969-w,Qual analysis (general),augment,,,3,Mixed / task-dependent,3,tension,Qual-methods,Evaluation of LLMs in qualitative research: moderate agreement; human oversight needed for valid interpretation.
thematic2025charity,Wen et al.,2025,AI & Society,10.1007/s00146-025-02487-4,Thematic analysis,augment,,,3,Mixed / task-dependent,3,tension,Qual-methods,Thematic analysis case study: GPT-4 accelerates coding with reasonable but imperfect theme overlap.
argyle2023outofone,Argyle et al.,2023,Political Analysis,2209.06899,Synthetic participants,simulate,,,3,Mixed / task-dependent,3,tension,CSS,"'Out of one, many': LLMs encode enough sociodemographic structure to simulate human survey samples ('silicon sampling') at group level."
wang2024flatten,Wang et al.,2024,Nature Mach. Intell.,2402.01908,Synthetic participants,replace,,,4,Caution / limited,2,critical,HCI,"LLMs replacing participants misportray and FLATTEN demographic groups; cannot capture positionality (3,200 humans, 16 identities)."
bail2024gensocsci,Bail,2024,PNAS,10.1073/pnas.2314021121,Synthetic participants,simulate,,,3,Mixed / task-dependent,3,tension,CSS,Can generative AI improve social science? Promising for annotation/simulation but validity and bias risks demand human benchmarking.
bisbee2023perils,Bisbee et al.,2023,SocArXiv,10.31235/osf.io/5ecfa,Synthetic participants,replace,,,4,Caution / limited,2,critical,CSS,Perils of synthetic survey data: LLM 'respondents' distort variances/correlations vs real humans; unsafe as a replacement.
huang2025surveyworth,Huang et al.,2025,arXiv,2502.17773,Synthetic participants,simulate,,,3,Mixed / task-dependent,3,tension,CSS,Uncertainty-quantification view: an LLM is worth only a bounded number of human respondents; substitution adds hidden uncertainty.
cheng2023compost,Cheng et al.,2023,EMNLP,10.18653/v1/2023.emnlp-main.669,Synthetic participants,simulate,,,4,Caution / limited,2,critical,NLP,"CoMPosT: LLM simulations of human subgroups are often caricatures, especially for marginalized identities."
salminen2025syntheticcritical,Salminen et al.,2025,Augmented Humans,10.1145/3745900.3746108,Synthetic participants,replace,,,4,Caution / limited,2,critical,HCI,Critical analysis of synthetic users in HCI: cannot capture unpredictable behavior; should not stand in for real users.
abbasiantaeb2024llmstalk,Abbasiantaeb et al.,2024,WSDM,10.1145/3616855.3635856,Synthetic participants,simulate,,,3,Mixed / task-dependent,3,tension,IR,'Let the LLMs talk': simulating users in conversational search; useful for evaluation but diverges from real user behavior.
salminen2024deusexmachina,Salminen et al.,2024,CHI,10.1145/3613904.3642036,Persona generation,augment,,,3,Mixed / task-dependent,3,tension,HCI,LLM-generated personas can be plausible and useful for ideation but risk stereotyping and lack grounded data.
jung2025personacraft,Jung et al.,2025,Int. J. Hum.-Comput. Stud.,10.1016/j.ijhcs.2025.103445,Persona generation,augment,,,3,Mixed / task-dependent,3,tension,HCI,PersonaCraft: data-grounded LLM personas from survey segments; better grounded but still need human validation.
haxvig2025personabias,Haxvig et al.,2025,Int. J. Hum.-Comput. Stud.,10.1016/j.ijhcs.2025.103651,Persona generation,replace,,,4,Caution / limited,2,critical,HCI,LLM synthetic personas encode gender/role bias from a participatory-design lens; unsafe as stand-ins for real users.
guerino2025gpt4ousability,Guerino et al.,2025,arXiv,2506.16345,Usability/heuristic eval,replace,0.212,,4,Caution / limited,2,critical,HCI,GPT-4o heuristic evaluation overlaps only 21.2% with expert-found issues and hallucinates false positives; not a substitute.
zhong2025synthheuristic,Zhong et al.,2025,arXiv,2507.02306,Usability/heuristic eval,replace,0.75,0.6,3,Mixed / task-dependent,3,tension,HCI,"Synthetic heuristic evaluation finds 73-77% of issues, exceeding 5 human evaluators (57-63%) but with different error profile."
duan2024uicrit,Duan et al.,2024,UIST,2407.08850,UX/design critique,augment,,,3,Mixed / task-dependent,3,tension,HCI,UICrit dataset shows LLM UI critique falls short of expert designers; few-shot/visual prompting gives +55% but gap remains.
duan2024visualcritique,Duan et al.,2024,arXiv,2412.16829,UX/design critique,augment,,,3,Mixed / task-dependent,3,tension,HCI,"Visual prompting with iterative refinement improves LLM design-critique quality toward, but not to, human-expert level."
kocaballi2023convdesign,Kocaballi,2023,arXiv,2302.07406,UX/design critique,augment,,,3,Mixed / task-dependent,3,tension,HCI,"ChatGPT explored as designer/user/evaluator in conversational design; useful provocation, not a reliable evaluator."
duan2024uimockup,Duan et al.,2024,CHI,2403.13139,UX/design critique,augment,,,3,Mixed / task-dependent,3,tension,HCI,"LLM feedback on UI mockups partially matches expert designer feedback; useful first pass, misses design nuance."
gilardi2023chatgpt,Gilardi et al.,2023,PNAS,2303.15056,Crowdsourced annotation,replace,,,1,Validated,5,enabling,CSS,ChatGPT +25pp accuracy over MTurk on relevance/stance/topic/frame; intercoder agreement exceeds crowd and trained coders.
tornberg2023political,Tornberg,2023,arXiv,2304.06588,Crowdsourced annotation,replace,,,1,Validated,5,enabling,CSS,ChatGPT-4 outperforms experts and crowd workers at annotating political social-media messages.
kuzman2023endannotation,Kuzman et al.,2023,arXiv,2303.03953,Crowdsourced annotation,replace,,,3,Mixed / task-dependent,3,tension,NLP,'Beginning of an end of manual annotation?': ChatGPT competitive on automatic genre/text annotation but not uniformly.
li2023coannotating,Li et al.,2023,EMNLP-F,2310.15638,Crowdsourced annotation,augment,,,2,Promising (conditional),4,enabling,NLP,"CoAnnotating allocates items between human and LLM by uncertainty, preserving quality at lower human cost."
wu2023llmworkers,Wu et al.,2023,arXiv,2307.10168,Social-computing annotation,replace,,,3,Mixed / task-dependent,3,tension,CSCW,LLMs as workers in human-computation pipelines: replicate multi-step crowdsourcing workflows with mixed fidelity.
zhu2023reproduce,Zhu et al.,2023,arXiv,2304.10145,Social-computing annotation,replace,,,3,Mixed / task-dependent,3,tension,CSCW,"Can ChatGPT reproduce human labels for social-computing tasks? Good on some, poor on subjective/cultural ones."
ostyakova2023crowdexperts,Ostyakova et al.,2023,SIGDIAL,10.18653/v1/2023.sigdial-1.23,Crowdsourced annotation,replace,,,3,Mixed / task-dependent,3,tension,NLP,ChatGPT vs crowdsourcing vs experts annotating open-domain dialogue: ChatGPT between crowd and expert quality.
rajashekar2024humanalgo,Rajashekar et al.,2024,CHI,10.1145/3613904.3642024,Social-computing annotation,augment,,,3,Mixed / task-dependent,3,tension,HCI,Human-algorithmic interaction with an LLM for annotation: human-AI workflow improves throughput with oversight.
lequere2024researchtools,Aubin Le Quere et al.,2024,CHI EA,10.1145/3613905.3636301,HCI research methods,augment,,,3,Mixed / task-dependent,3,tension,HCI,LLMs as research tools across HCI data work: maps applications and evaluation gaps; calls for validation norms.
tabone2023hciprimer,Tabone & de Winter,2023,R. Soc. Open Sci.,10.1098/rsos.231053,HCI research methods,augment,,,3,Mixed / task-dependent,3,tension,HCI,A primer on using ChatGPT for HCI research: opportunities across the method pipeline with caution on validity.
anderson2024homogenization,Anderson et al.,2024,Creativity & Cognition,2402.01536,Creativity/ideation,augment,,,4,Caution / limited,2,critical,HCI,LLM assistance homogenizes human creative ideation (less collective diversity); a caution for LLM-mediated design research.
